time,survival_prob,stage
60.72262222,0.3548387096774192,Stage I
61.2815202,0.3548387096774192,Stage I
61.47877832,0.3548387096774192,Stage I
63.51711214,0.3548387096774192,Stage I
64.60203176,0.3548387096774192,Stage I
64.89791893,0.3548387096774192,Stage I
69.33622645,0.3548387096774192,Stage I
70.25676431,0.3548387096774192,Stage I
71.04579676,0.3548387096774192,Stage I
72.29509814,0.3548387096774192,Stage I
73.11700694,0.3548387096774192,Stage I
73.90603939,0.3548387096774192,Stage I
74.33343196,0.3548387096774192,Stage I
77.58819081,0.3548387096774192,Stage I
77.85120163,0.3548387096774192,Stage I
80.51418615,0.3548387096774192,Stage I
82.68402538,0.3548387096774192,Stage I
85.14975178,0.3548387096774192,Stage I
85.31413354,0.3548387096774192,Stage I
86.00453694,0.3548387096774192,Stage I
87.97711806,0.3548387096774192,Stage I
93.10582898,0.3548387096774192,Stage I
97.74139462,0.3548387096774192,Stage I
100.5687609,0.3548387096774192,Stage I
101.7194332,0.3548387096774192,Stage I
107.209784,0.3548387096774192,Stage I
108.6563435,0.3548387096774192,Stage I
119.5055397,0.3548387096774192,Stage I
123.5822073,0.3548387096774192,Stage I
156.6558175,0.3548387096774192,Stage I
164.1187494,0.3548387096774192,Stage I
221.3236019,0.3548387096774192,Stage I
238.2877996,0.3548387096774192,Stage I
